virus	medium	temperature_celsius	timepoint_minutes	replicate	log10_dilution	well_status	well_volume_ml	condition_id	sample_id	is_pilot
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	0	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-1	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-2	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-3	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-4	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-5	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-6	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-7	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	0	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-1	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-2	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-3	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-4	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-5	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-6	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	-7	false	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
H5N1_mountain_lion_isolate	milk	63.0	0.3333333333333333	1	0	true	0.1	H5N1_mountain_lion_isolate-milk-63.0C	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	false
