	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
decay_rate[0]	0.01805	0.01279	878.00539	1428.78627	1.00301
halflife[0]	0.00033	0.00023	878.00539	1428.78627	1.00286
initial_log_titer[0]	0.02672	0.01902	918.32126	1595.95572	1.00235
initial_log_titer[1]	0.02714	0.01925	910.43121	1624.34543	1.00187
initial_log_titer[2]	0.02336	0.01666	1326.08995	2189.32024	1.00193
initial_log_titer[3]	0.02129	0.01516	2005.64669	2647.66202	1.00309
initial_log_titer[4]	0.02093	0.01498	2045.12439	2248.23046	1.0009
initial_log_titer[5]	0.0228	0.01612	1814.28084	2356.82596	1.00087
initial_log_titer[6]	0.02014	0.01437	2132.84278	2195.00705	1.0021
initial_log_titer[7]	0.02114	0.01507	2060.19882	2632.27154	1.00303
initial_log_titer[8]	0.02088	0.01477	1986.87157	2624.57183	0.99995
initial_log_titer[9]	0.01828	0.01297	1022.96307	1678.56008	1.00107
initial_log_titer[10]	0.01845	0.01315	1224.69242	1769.21072	1.00107
initial_log_titer[11]	0.01846	0.01312	992.53658	1585.25739	1.00162
initial_log_titer[12]	0.00717	0.0051	2201.73189	2327.55606	1.00191
initial_log_titer[13]	0.00725	0.00515	1917.1268	2266.31442	1.00036
initial_log_titer[14]	0.0071	0.00503	2043.31501	2576.85211	1.00109
initial_log_titer[15]	0.02121	0.01514	2029.08307	2514.41762	1.00268
initial_log_titer[16]	0.02136	0.0151	1947.26193	2450.49894	1.00085
initial_log_titer[17]	0.02099	0.01498	2094.62858	2295.94719	1.00108
initial_log_titer[18]	0.02236	0.01587	1816.18275	2434.03103	1.00138
initial_log_titer[19]	0.02281	0.01613	1656.81284	2483.13249	1.00137
initial_log_titer[20]	0.02366	0.01673	1566.73168	2586.52092	1.00086
initial_log_titer[21]	0.02186	0.01568	1882.89045	2328.21795	1.00191
initial_log_titer[22]	0.02046	0.01455	2180.38448	2567.75842	1.00177
initial_log_titer[23]	0.02116	0.01506	2083.71107	2244.839	1.0006
initial_log_titer[24]	0.02159	0.01537	1877.37984	2152.95792	1.00178
initial_log_titer[25]	0.02083	0.01473	2095.8434	2661.73602	1.0016
initial_log_titer[26]	0.02089	0.01483	2057.2664	2345.25768	1.00118
initial_log_titer[27]	0.01284	0.00909	1337.65632	2224.86768	1.00173
initial_log_titer[28]	0.01231	0.00872	1317.1853	2309.73536	1.00093
initial_log_titer[29]	0.01246	0.00885	1334.65271	2248.47804	1.00108
initial_log_titer[30]	0.02122	0.01512	1953.55359	2085.64896	1.00098
initial_log_titer[31]	0.02162	0.01542	1897.58471	2191.56353	1.00247
initial_log_titer[32]	0.02142	0.01539	1964.86858	2336.42057	1.00057
initial_log_titer[33]	0.02169	0.01537	1919.48581	2267.33698	1.00045
initial_log_titer[34]	0.02126	0.01529	1997.78026	2248.49674	1.00054
initial_log_titer[35]	0.01916	0.01383	2412.77562	2172.90832	1.00133
log_halflife[0]	0.00439	0.00311	878.00539	1428.78627	1.00296
log_titer[0]	0.00443	0.00313	6463.43121	2786.03289	1.00249
log_titer[1]	0.00377	0.00266	5322.75791	3571.75423	0.99995
log_titer[2]	0.00992	0.00921	4623.97679	2702.87148	1.00115
log_titer[3]	0.16379	0.11602	906.23327	1475.53227	1.00228
log_titer[4]	0.16436	0.11641	917.04768	1483.19181	1.00176
log_titer[5]	0.16256	0.11534	929.76911	1596.90941	1.00179
log_titer[6]	0.25446	0.18031	893.85058	1332.32361	1.00247
log_titer[7]	0.25423	0.18027	891.43403	1435.56606	1.00226
log_titer[8]	0.25366	0.17974	898.97994	1482.02739	1.00285
log_titer[9]	0.00271	0.00192	8042.75933	3236.09329	1.00059
log_titer[10]	0.00507	0.0037	7375.18468	3154.1852	1.00114
