	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
decay_rate[0]	0.01816	0.01291	848.55074	1398.44325	1.00275
halflife[0]	0.00033	0.00024	848.55074	1398.44325	1.00275
initial_log_titer[0]	0.02676	0.01909	891.64345	1441.61981	1.00341
initial_log_titer[1]	0.02741	0.01949	878.80379	1484.79577	1.0029
initial_log_titer[2]	0.02427	0.01733	1220.84046	1903.42905	1.0027
initial_log_titer[3]	0.02286	0.01638	1739.19281	2163.20123	1.00401
initial_log_titer[4]	0.0226	0.01611	1701.58399	2012.09675	1.0018
initial_log_titer[5]	0.0232	0.01641	1703.97722	2479.74616	1.00168
initial_log_titer[6]	0.02073	0.01488	1950.60961	2076.75296	1.00119
initial_log_titer[7]	0.02261	0.01603	1793.96852	2403.62132	1.00345
initial_log_titer[8]	0.02192	0.01566	1810.68974	2612.40195	1.00087
initial_log_titer[9]	0.01827	0.013	997.46063	1500.68764	1.0023
initial_log_titer[10]	0.01892	0.01348	1143.73034	1920.44915	1.00159
initial_log_titer[11]	0.01844	0.01313	983.1987	1514.43233	1.00161
initial_log_titer[12]	0.00733	0.00523	2112.26076	1876.21606	1.00132
initial_log_titer[13]	0.00701	0.00498	2024.33849	2134.82951	1.00103
initial_log_titer[14]	0.00714	0.00505	2012.72527	2725.34516	1.00042
initial_log_titer[15]	0.02234	0.01597	1773.8225	2431.27605	1.00226
initial_log_titer[16]	0.023	0.01627	1691.64095	2154.47372	1.00153
initial_log_titer[17]	0.02106	0.015	2050.66885	2324.99863	1.00187
initial_log_titer[18]	0.02345	0.01659	1644.81941	2405.32746	1.00114
initial_log_titer[19]	0.02358	0.01675	1524.39063	2091.13257	1.00212
initial_log_titer[20]	0.02402	0.01699	1511.42802	2449.07942	1.00258
initial_log_titer[21]	0.02222	0.01589	1762.12524	2418.60742	1.00319
initial_log_titer[22]	0.02113	0.01501	1971.57055	2585.38306	1.00179
initial_log_titer[23]	0.02187	0.01547	1909.22177	2405.04522	1.00204
initial_log_titer[24]	0.02392	0.01717	1554.48085	1889.88196	1.00218
initial_log_titer[25]	0.02189	0.01548	1912.02996	2701.63093	1.00179
initial_log_titer[26]	0.02089	0.01492	2049.1531	2582.25893	1.00095
initial_log_titer[27]	0.01287	0.00915	1325.65987	1981.54576	1.00185
initial_log_titer[28]	0.0125	0.00886	1278.2322	1961.43795	1.00108
initial_log_titer[29]	0.01258	0.00894	1282.45269	2042.22957	1.00119
initial_log_titer[30]	0.02139	0.01518	1889.24109	2232.40952	1.00125
initial_log_titer[31]	0.02261	0.01608	1716.29822	2371.855	1.0036
initial_log_titer[32]	0.02292	0.01639	1727.14852	2391.97471	1.00127
initial_log_titer[33]	0.02301	0.01627	1746.899	2312.38095	1.00074
initial_log_titer[34]	0.02261	0.01626	1746.42637	2062.49091	1.00147
initial_log_titer[35]	0.02148	0.01546	1911.09002	2240.34007	1.0026
log_halflife[0]	0.00442	0.00314	848.55074	1398.44325	1.00275
log_titer[0]	0.00448	0.00317	6541.78169	2938.22103	1.00072
log_titer[1]	0.00338	0.00239	6770.39552	2976.17925	1.00188
log_titer[2]	0.01035	0.00918	4018.254	2825.76479	1.00061
log_titer[3]	0.1641	0.11662	882.85165	1483.87941	1.00192
