	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
log_titer[0]	0.00486	0.00344	3151.37317	2550.79897	1.00006
log_titer[1]	0.00457	0.00324	3571.89287	2872.62975	0.99995
log_titer[2]	0.00486	0.00344	3399.19765	2691.43869	1.00023
log_titer[3]	0.16232	0.12417	2017.78909	1563.75917	1.00179
log_titer[4]	0.16188	0.11992	1809.12082	1731.85822	1.00049
log_titer[5]	0.1471	0.1119	2079.23083	1686.31395	1.00011
log_titer[6]	0.14207	0.10392	2134.55389	2258.41134	1.00165
log_titer[7]	0.153	0.11416	2065.58255	1724.60858	1.00272
log_titer[8]	0.13738	0.1006	2170.56286	2257.45799	1.00082
log_titer[9]	0.13943	0.10514	2178.61247	2057.3008	1.00037
log_titer[10]	0.13896	0.10438	2308.74191	2079.0609	1.00117
log_titer[11]	0.15581	0.11518	1922.96957	1778.552	1.00348
log_titer[12]	0.13997	0.10337	2290.32662	2061.82678	1.00304
log_titer[13]	0.1475	0.10587	2088.31897	1968.37857	1.00136
log_titer[14]	0.14821	0.11215	2276.68255	1762.08135	1.00072
log_titer[15]	0.16065	0.12795	1970.91608	1594.0079	1.00218
log_titer[16]	0.14414	0.10756	2154.98568	2001.63511	1.00097
log_titer[17]	0.14998	0.10948	1923.6638	2135.94556	1.00288
log_titer[18]	0.13906	0.10302	2275.90491	2015.37651	1.00082
log_titer[19]	0.15064	0.11192	2011.97029	1702.60136	1.00226
log_titer[20]	0.14993	0.11156	2165.12975	1882.76324	1.00075
log_titer[21]	0.16965	0.12507	1628.01243	1561.85196	1.00077
log_titer[22]	0.14963	0.11366	2044.43601	2031.69817	1.00077
log_titer[23]	0.00539	0.00381	3208.44877	2083.37668	1.00041
log_titer[24]	0.00723	0.00511	3112.73868	1331.60927	1.00228
log_titer[25]	0.00494	0.0035	3022.66298	2327.03872	1.00057
log_titer[26]	0.1532	0.11243	2051.32369	1822.19668	1.00181
log_titer[27]	0.14436	0.10874	2172.3212	1883.03927	1.00109
log_titer[28]	0.14749	0.10842	2092.4792	2095.76766	1.00051
log_titer[29]	0.14516	0.1058	2196.1398	2204.15187	1.00034
log_titer[30]	0.15278	0.11195	2047.52681	2045.58817	0.99988
log_titer[31]	0.13683	0.09994	2218.8527	2237.55203	1.00164
log_titer[32]	0.15991	0.11692	1795.07903	1660.17958	1.00073
log_titer[33]	0.0048	0.00339	3184.58256	2976.40869	1.00068
