temperature_celsius	medium	timepoint_minutes	total_positive_wells	sample_id	condition_id	is_pilot	log_titer_median	log_titer_q025	log_titer_q975	log_titer_formatted
63.0	milk	0.3333333333333333	20	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep1	H5N1_mountain_lion_isolate-milk-63.0C	false	5.515980243682861	4.94765567779541	6.026498317718506	5.52 [4.95, 6.03]
63.0	milk	0.3333333333333333	19	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep2	H5N1_mountain_lion_isolate-milk-63.0C	false	5.1826372146606445	4.634112358093262	5.629361152648926	5.18 [4.63, 5.63]
63.0	milk	0.3333333333333333	19	H5N1_mountain_lion_isolate-milk-t63C-20-sec-rep3	H5N1_mountain_lion_isolate-milk-63.0C	false	5.176891326904297	4.609357833862305	5.650057315826416	5.18 [4.61, 5.65]
63.0	milk	0.6666666666666666	20	H5N1_mountain_lion_isolate-milk-t63C-40-sec-rep1	H5N1_mountain_lion_isolate-milk-63.0C	false	5.5007994174957275	4.945620059967041	6.019909381866455	5.50 [4.95, 6.02]
63.0	milk	0.6666666666666666	13	H5N1_mountain_lion_isolate-milk-t63C-40-sec-rep2	H5N1_mountain_lion_isolate-milk-63.0C	false	3.7109371423721313	3.118454933166504	4.215967178344727	3.71 [3.12, 4.22]
63.0	milk	0.6666666666666666	18	H5N1_mountain_lion_isolate-milk-t63C-40-sec-rep3	H5N1_mountain_lion_isolate-milk-63.0C	false	4.926631689071655	4.388726234436035	5.418100833892822	4.93 [4.39, 5.42]
63.0	milk	1.0	6	H5N1_mountain_lion_isolate-milk-t63C-1min-rep1	H5N1_mountain_lion_isolate-milk-63.0C	false	1.931161642074585	1.3721580505371094	2.41241192817688	1.93 [1.37, 2.41]
63.0	milk	1.0	6	H5N1_mountain_lion_isolate-milk-t63C-1min-rep3	H5N1_mountain_lion_isolate-milk-63.0C	false	1.9265145063400269	1.3740895986557007	2.421201229095459	1.93 [1.37, 2.42]
63.0	milk	1.5	2	H5N1_mountain_lion_isolate-milk-t63C-1.5min-rep1	H5N1_mountain_lion_isolate-milk-63.0C	false	0.8032985925674438	-0.09681432694196701	1.3325304985046387	0.80 [-0.10, 1.33]
63.0	milk	1.5	7	H5N1_mountain_lion_isolate-milk-t63C-1.5min-rep2	H5N1_mountain_lion_isolate-milk-63.0C	false	2.1731218099594116	1.600752830505371	2.6242001056671143	2.17 [1.60, 2.62]
72.0	milk	0.0	17	H5N1_mountain_lion_isolate-milk-t72C-0-sec-rep1	H5N1_mountain_lion_isolate-milk-72.0C	false	4.708761215209961	4.145898342132568	5.198486328125	4.71 [4.15, 5.20]
72.0	milk	0.0	18	H5N1_mountain_lion_isolate-milk-t72C-0-sec-rep2	H5N1_mountain_lion_isolate-milk-72.0C	false	4.923395395278931	4.3411993980407715	5.415812969207764	4.92 [4.34, 5.42]
72.0	milk	0.0	16	H5N1_mountain_lion_isolate-milk-t72C-0-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C	false	4.498516798019409	3.922227382659912	4.9988694190979	4.50 [3.92, 5.00]
72.0	milk	0.08333333333333333	1	H5N1_mountain_lion_isolate-milk-t72C-5-sec-rep1	H5N1_mountain_lion_isolate-milk-72.0C	false	0.40609095990657806	-1.0858603715896606	1.1304259300231934	0.41 [-1.09, 1.13]
72.0	milk	0.08333333333333333	3	H5N1_mountain_lion_isolate-milk-t72C-5-sec-rep2	H5N1_mountain_lion_isolate-milk-72.0C	false	1.1666187644004822	0.5496950149536133	1.6479439735412598	1.17 [0.55, 1.65]
72.0	milk	0.08333333333333333	2	H5N1_mountain_lion_isolate-milk-t72C-5-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C	false	0.857006698846817	0.06376877427101135	1.405719518661499	0.86 [0.06, 1.41]
72.0	milk	0.16666666666666666	2	H5N1_mountain_lion_isolate-milk-t72C-10-sec-rep2	H5N1_mountain_lion_isolate-milk-72.0C	false	0.8525406420230865	0.02636292763054371	1.4105173349380493	0.85 [0.03, 1.41]
72.0	milk	0.25	1	H5N1_mountain_lion_isolate-milk-t72C-15-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C	false	0.40180933475494385	-0.9780629277229309	1.1270344257354736	0.40 [-0.98, 1.13]
72.0	milk	0.3333333333333333	1	H5N1_mountain_lion_isolate-milk-t72C-20-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C	false	0.38545532524585724	-1.0484744310379028	1.137455940246582	0.39 [-1.05, 1.14]
72.0	milk	0.0	22	H5N1_mountain_lion_isolate-milk-pilot-t72C-0-sec-rep1	H5N1_mountain_lion_isolate-milk-72.0C-pilot	true	5.927813529968262	5.363696098327637	6.428784370422363	5.93 [5.36, 6.43]
72.0	milk	0.0	22	H5N1_mountain_lion_isolate-milk-pilot-t72C-0-sec-rep2	H5N1_mountain_lion_isolate-milk-72.0C-pilot	true	5.92298150062561	5.367740154266357	6.4087090492248535	5.92 [5.37, 6.41]
72.0	milk	0.0	20	H5N1_mountain_lion_isolate-milk-pilot-t72C-0-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C-pilot	true	5.497780799865723	4.907987594604492	6.023269176483154	5.50 [4.91, 6.02]
72.0	milk	0.08333333333333333	3	H5N1_mountain_lion_isolate-milk-pilot-t72C-5-sec-rep3	H5N1_mountain_lion_isolate-milk-72.0C-pilot	true	1.0783702731132507	0.4110409617424011	1.527854561805725	1.08 [0.41, 1.53]
